Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
30-07-2022;00:00:00;31-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
30-07-2022;00:00:00;31-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;5,481;kWh;Gevalideerd
30-07-2022;00:00:00;31-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
30-07-2022;00:00:00;31-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
31-07-2022;00:00:00;01-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
31-07-2022;00:00:00;01-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;3,661;kWh;Gevalideerd
31-07-2022;00:00:00;01-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
31-07-2022;00:00:00;01-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-08-2022;00:00:00;02-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,584;kWh;Gevalideerd
01-08-2022;00:00:00;02-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,737;kWh;Gevalideerd
01-08-2022;00:00:00;02-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-08-2022;00:00:00;02-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
02-08-2022;00:00:00;03-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,183;kWh;Gevalideerd
02-08-2022;00:00:00;03-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;2,410;kWh;Gevalideerd
02-08-2022;00:00:00;03-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
02-08-2022;00:00:00;03-08-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
