Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
17-05-2024;09:15:00;17-05-2024;09:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,046;kWh;Gevalideerd
17-05-2024;09:15:00;17-05-2024;09:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;09:30:00;17-05-2024;09:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,030;kWh;Gevalideerd
17-05-2024;09:30:00;17-05-2024;09:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;09:45:00;17-05-2024;10:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,024;kWh;Gevalideerd
17-05-2024;09:45:00;17-05-2024;10:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;10:00:00;17-05-2024;10:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,022;kWh;Gevalideerd
17-05-2024;10:00:00;17-05-2024;10:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;10:15:00;17-05-2024;10:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,027;kWh;Gevalideerd
17-05-2024;10:15:00;17-05-2024;10:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;10:30:00;17-05-2024;10:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,030;kWh;Gevalideerd
17-05-2024;10:30:00;17-05-2024;10:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;10:45:00;17-05-2024;11:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,040;kWh;Gevalideerd
17-05-2024;10:45:00;17-05-2024;11:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;11:00:00;17-05-2024;11:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,028;kWh;Gevalideerd
17-05-2024;11:00:00;17-05-2024;11:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;11:15:00;17-05-2024;11:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,029;kWh;Gevalideerd
17-05-2024;11:15:00;17-05-2024;11:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;11:30:00;17-05-2024;11:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,047;kWh;Gevalideerd
17-05-2024;11:30:00;17-05-2024;11:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;11:45:00;17-05-2024;12:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,062;kWh;Gevalideerd
17-05-2024;11:45:00;17-05-2024;12:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
