Van Datum,Van Tijdstip,Tot Datum,Tot Tijdstip,Meter,Metertype,Register,Volume,Eenheid,Validatiestatus
08-07-2024,22:00:00,08-07-2024,22:15:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,22:15:00,08-07-2024,22:30:00,1SAG1100386949,Digitale Meter,Afname Nacht,34,kWh,Gevalideerd
08-07-2024,22:15:00,08-07-2024,22:30:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,22:30:00,08-07-2024,22:45:00,1SAG1100386949,Digitale Meter,Afname Nacht,24,kWh,Gevalideerd
08-07-2024,22:30:00,08-07-2024,22:45:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,22:45:00,08-07-2024,23:00:00,1SAG1100386949,Digitale Meter,Afname Nacht,28,kWh,Gevalideerd
08-07-2024,22:45:00,08-07-2024,23:00:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,23:00:00,08-07-2024,23:15:00,1SAG1100386949,Digitale Meter,Afname Nacht,23,kWh,Gevalideerd
08-07-2024,23:00:00,08-07-2024,23:15:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,23:15:00,08-07-2024,23:30:00,1SAG1100386949,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
08-07-2024,23:15:00,08-07-2024,23:30:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,23:30:00,08-07-2024,23:45:00,1SAG1100386949,Digitale Meter,Afname Nacht,21,kWh,Gevalideerd
08-07-2024,23:30:00,08-07-2024,23:45:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
08-07-2024,23:45:00,09-07-2024,00:00:00,1SAG1100386949,Digitale Meter,Afname Nacht,23,kWh,Gevalideerd
08-07-2024,23:45:00,09-07-2024,00:00:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,00:00:00,09-07-2024,00:15:00,1SAG1100386949,Digitale Meter,Afname Nacht,23,kWh,Gevalideerd
09-07-2024,00:00:00,09-07-2024,00:15:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,00:15:00,09-07-2024,00:30:00,1SAG1100386949,Digitale Meter,Afname Nacht,20,kWh,Gevalideerd
09-07-2024,00:15:00,09-07-2024,00:30:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,00:30:00,09-07-2024,00:45:00,1SAG1100386949,Digitale Meter,Afname Nacht,21,kWh,Gevalideerd
09-07-2024,00:30:00,09-07-2024,00:45:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,00:45:00,09-07-2024,01:00:00,1SAG1100386949,Digitale Meter,Afname Nacht,43,kWh,Gevalideerd
09-07-2024,00:45:00,09-07-2024,01:00:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:00:00,09-07-2024,01:15:00,1SAG1100386949,Digitale Meter,Afname Nacht,48,kWh,Gevalideerd
09-07-2024,01:00:00,09-07-2024,01:15:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:15:00,09-07-2024,01:30:00,1SAG1100386949,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
09-07-2024,01:15:00,09-07-2024,01:30:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:30:00,09-07-2024,01:45:00,1SAG1100386949,Digitale Meter,Afname Nacht,27,kWh,Gevalideerd
09-07-2024,01:30:00,09-07-2024,01:45:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:45:00,09-07-2024,02:00:00,1SAG1100386949,Digitale Meter,Afname Nacht,18,kWh,Gevalideerd
09-07-2024,01:45:00,09-07-2024,02:00:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,02:00:00,09-07-2024,02:15:00,1SAG1100386949,Digitale Meter,Afname Nacht,20,kWh,Gevalideerd
09-07-2024,02:00:00,09-07-2024,02:15:00,1SAG1100386949,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,02:15:00,09-07-2024,02:30:00,1SAG1100386949,Digitale Meter,Afname Nacht,18,kWh,Gevalideerd
